keys,en-US,it-IT,da-DK,de-AT,nl-NL,sr-SP,mk-MK,bg-BG,hr-HR,ro-RO
users.enterNickname,Enter nickname,Inserisci il soprannome,Indtast dit kaldenavn,Nicknamen eingeben,Voer bijnaam in,Unesi nadimak,Внеси прекар,въведете прякор,Unesi nadimak,Introdu nume de alint
users.enterPassword,Enter password,Inserisci la password,Indtast password,Passwort eingeben,,Unesi lozinku,,,Unesi lozinku,
users.enterPostcode,Enter postcode,Inserisci CAP,Indtast postnummer,Postleitzahl eingeben,Voer postcode in,Unesi poštanski broj,Внеси поштенски код,въведете пощенски код,Unesi poštanski broj,Introdu cod poștal
users.enterState,Enter state,Inserisci stato,We do not have state in Denmark. Only regions and cities. ,Staat eingeben,Voer provincie in,Unesi državu,Внеси држава,въведете държава,Unesi državu,Intrudu stare
users.enterTelephone,Enter telephone,Inserisci numero di telefono,Indtast telefonnummer,Telefonnummer eingeben,Voer telefoonnummer in,Unesi broj telefona,Внеси телефон,въведете телефон,Unesi broj telefona,Introdu număr de telefon fix
users.enterUsername,Enter username,Inserisci il nome utente,Indtast brugernavn,Benutzernamen eingeben,Voer gebruiksnaam in,Unesi korisničko ime,Внеси корисничко име,въведете потребителско име,Unesi korisničko ime,Introdu nume utilizator
users.weight,Weight (kg),Peso (Kg),Vægt (kg),Gewicht (kg),,Težina (kg),,,Težina (kg),
users.enterWeight,Enter weight,Inserire il peso,Indtast vægt,Gewicht eingeben,,Unesite težinu,,,Unesite težinu,
users.height,Height (cm),Altezza (cm),Højde (cm),Größe (cm),,Visina (cm),,,Visina (cm),
users.enterHeight,Enter height,Inserire l'altezza,Indtast højde,Größe eingeben,,Unesite visinu,,,Unesite visinu,
users.suffers,Suffers,Soffre,,Leidet,,Obolijeva,,,Oboljeva,
users.notSuffers,Not suffers,Non soffre,,Leidet nicht,,Ne obolijeva,,,Ne oboljeva,
users.female,female,femmina,kvinde,weiblich,vrouwelijk,žensko,Женски,жена,žensko,femeie
users.firstName,First name,Nome,Fornavn,Vorname,Voornaam,Ime,Име,собствено име,Ime,Prenume
users.formalCaregiver,Formal caregiver,Assistente formale,Sundhedsprofessionelle,medizinische Betreuungsperson,Professionele zorgverlener,Formalni staratelj,Формален старател,формален грижещ се,Formalni staratelj,Îngrijitor formal
users.gender,Gender,Sesso,køn,Geschlecht,Geslacht,Pol,Пол,пол,Pol,Sex
users.informalCaregiver,Informal caregiver,Assistente informale,Private personer,Angehörige,Mantelzorger,Neformalni staratelj,Неформален старател,неформален грижещ се,Neformalni staratelj,Îngrijitor informal
users.lastName,Last name,Cognome,Efternavn,Nachname,Achternaam,Prezime,Презиме,фамилно име,Prezime,Nume de familie
users.male,male,maschio,mand ,männlich,Mannelijk,muško,Машки,мъж,muško,bărbat
users.mismatchPassword,Passwords do not match,Le password non coincidono,Forkert password,falsches Passwort,,Lozinka se ne poklapa,,,,
users.mobile,Mobile,Telefono cellulare,Mobiltelefon,Mobiltelefon,Mobiele telefoon,Mobilni telefon,Мобилен телефон,мобилен телефон,Mobilni telefon,Mobil
users.nickname,Nickname,Soprannome,Kaldenavn,Nickname,Bijnaam,Nadimak,Прекар,прякор,Nadimak,Nume de alint
users.onlineStatus,Online,Connesso,Online,Online,Online,Online,Online,Online,Online,Online
users.platformAdministrator,Platform administrator,Amministratore piattaforma,Platforms administrator,Plattform Administrator,Platform beheerder,Administrator platforme,Администратор на платформа,администратор на платформа,Administrator platforme,Administrator platformă
users.postcode,Postcode,CAP,Postnummer,Postleitzahl,Postcode,Poštanski broj,Поштенски код,пощенски код,Poštanski broj,Cod poștal
users.primaryUser,Primary user,Utente primario,Primær bruger,primärer Nutzer,Primaire gebruiker,Primarni korisnik,Примарен корисник,освновен потребител,Primarni korisnik,Utilizator primar
users.regionAdministrator,Region administrator,Amministratore regione,Regions administrator,Regionenadministrator,Regio beheerder,Administrator regiona,Администратор на регион,регионален администратор,Administrator regije,Administrator regiune
users.searchUser,Search user...,Trova utente...,Søg efter...,Nutzer suchen...,Zoek gebruiker ...,Traži korisnika...,Барање на корисник,търсене за потребител,Traži korisnika...,Caută utilizator...
users.selectGender,Select gender,Seleziona il sesso,Vælg køn,Geschlecht auswählen,Selecteer geslacht,Izaberi pol,Одбери пол,изберете пол,Izaberi pol,Selectează sex
users.selectTimezone,Select time zone,Seleziona il fuso orario,Vælg tidszone,Zeitzone auswählen,,Odaberi vremensku zonu,,,Odaberite vremensku zonu,
users.selectUser,Select user,Seleziona utente,Vælg bruger,Nutzer auswählen,Selecteer gebruiker,Izaberi korisnika,Одбери корисник ,изберете потребител,Izaberi korisnika,Selectează utilizator
users.selectUserRole,Select user role,Seleziona il ruolo utente,Vælge brugerens rolle,Nutzerrolle auswählen,Selecteer gebruikers rol,Izaberi ulogu korisnika,Одбери улога на корисникот,изберете роля на потребител,Izaberi ulogu korisnika,Selectează rolul utilizatorului
users.state,State,Stato,Stat,Staat,Provincie,Država,Држава,държава,Država,Stare
users.telephone,Telephone,Telefono,Telefon,Telefon,Telefoon,Telefon,Телефон,телефон,Telefon,Telefon
users.timezone,Time zone,Fuso orario,Tidszone,Zeitzone,,Vremenska zona,,,Vremenska zona,
users.user,User,Utente,Bruger ,Nutzer,Gebruiker,Korisnik,Корисник,потребител,Korisnik,Utilizator
users.username,Username,Nome utente,Brugernavn,Benutzername,Gebruikersnaam,Korisničko ime,Корисничко име,Потребителско име,Korisničko ime,Nume utilizator
users.userRole,User role,Ruolo utente,Brugerens rolle,Nutzerrolle,Gebruikers rol,Uloga korisnika,Улога на корисникот,роля на потребителя,Uloga korisnika,Rolul utilizatorului
users.verifyPassword,Insert the password again,Reinserisci la password,Indsæt dit password igen,Passwort nochmals eingeben,,Potvrdi lozinku,,,Potvrdi lozinku,
users.accountIsEnabled,Account enabled,Account abilitato,,Konto wurde erstellt,,Račun omogućen,,,Račun omogućen,
users.realTimeMonitoringAllowed,Real time monitoring allowed,Monitoraggio in tempo reale permesso,,Echtzeitübertragung erlaubt,,Nadgledanje u stvarnom vremenu dozvoljeno,,,Nadgledanje u stvarnom vremenu dozvoljeno,
users.preferredLanguage,Preferred language,Lingua preferita,,bevorzugte Sprache,,Preferirani jezik,,,Preferirani jezik,
users.selectPreferredLanguage,Select preferred language,Seleziona lingua preferita,,bevorzugte Sprache auswählen,,Odaberi preferirani jezik,,,Odaberi preferirani jezik,
users.secondaryLanguage,Secondary language,Lingua secondaria,,Zweitsprache,,Sekundarni jezik,,,Sekundarni jezik,
users.selectSecondaryLanguage,Select secondary language,Seleziona lingua secondaria,,Zweitsprache auswählen,,Odaberi sekundarni jezik,,,Odaberi sekundarni jezik,
users.submitPhotoError,Error during submitting photo!,Errore nella presentazione della foto!,,Es ist ein Fehler beim Übersenden des Fotos autgetreten!,,Greška tokom predaje slike,,,Greška tokom predaje slike,
users.removePhotoError,Error during removing photo!,Errore nella rimozione della foto!,,Es ist ein Fehler beim Löschen des Fotos autgetreten!,,Greška tokom brisanja slike,,,Greška tokom brisanja slike,
users.browsePhotos,Browse photos,Scorri le foto,,Fotos durchsuchen,,Pretraži slike,,,Pretraži slike,
users.removePhoto,Remove photo,Rimuovi la foto,,Fotos löschen,,Ukloni sliku,,,Ukloni sliku,
users.selectUnitSystem,Select unit system,Seleziona il sistema di unità,,Einheitssystem auswählen,,Odaberi sustav jedinica,,,Odaberi sustav jedinica,
users.unitSystem,Unit system,Sistema di unità,,Einheitssystem,,Sustav jedinica,,,Sustav jedinica,
users.metricSystem,Metric system,Sistema metrico Decimale,,Metrisches System,,Metrički sustav,,,Metrički sustav,
users.imperialSystem,Imperial system,Sistema Imperiale Britannico,,Imeriales System,,Imperijalni sustav,,,Imperijalni sustav,
users.siStandard,International System of Units,Sistema di unità internazionale,,Internationales Einheitssystem,,Međunarodni sustav jedinica,,,Međunarodni sustav jedinica,
welcome.hello,Hello {username}!,Ciao {username}!,Hej {username}!,Hallo {username}!,Hallo {username}!,Zdravo {username}!,Здраво {username}!,Здравейте {username},Zdravo {username}!,Bună {username}!
welcome.role,Role:,Ruolo:,Rolle: ,Rolle:,Rol:,Uloga:,Улога:,Роля:,Uloga:,Rol:
healthImpairments.sensoryRelatedHealthImpairments,Sensory related health impairments,Disturbo di natura sensoriale,Sensorer relateret til svækket sundhed,Gesundheitsbeeinträchtigungen der Sinneswahrnehmung,,Zdravstvene poteškoće čula,,,Zdravstvene poteškoće osjetila,
healthImpairments.skeletalRelatedHealthImpairments,Skeletal related health impairments,Disturbo di natura scheletrica,?,Gesundheitsbeeinträchtigungen des Bewegungsapparats,,Koštane zdravstvene poteškoće,,,Koštane zdravstvene poteškoće,
healthImpairments.languageRelatedHealthImpairments,Language related health impairments,Disturbo del linguaggio,Sprog relateret til svækket sundhed,Gesundheitsbeeinträchtigungen des Sprachgebrauchs,,Zdravstvene poteškoće govora,,,Zdravstvene poteškoće govora,
healthImpairments.memoryRelatedHealthImpairments,Memory related health impairments,Disturbo di memoria,Hukommelse relateret til svækket sundhed,Gesundheitsbeeinträchtigungen der Gedächtnisfunktionen,,Zdravstvene poteškoće pamćenja,,,Zdravstvene poteškoće pamćenja,
healthImpairments.astigmatism,Astigmatism,Astigmatismo,Bygningsfejl,Astigmatismus,,Astigmatizam,,,Astigmatizam,
healthImpairments.colorBlindness,Color blindness,Daltonismo,Farveblind,Farbenblindheit,,Daltonizam,,,Daltonizam,
healthImpairments.farSightedness,Far sightedness,Presbiopia,Fremsynethed,Weitsichtigkeit,,Dalekovidan,,,Dalekovidan,
healthImpairments.lightSensitivity,Light sensitivity,Sensibilità alla luce,Lysfølsomhed,Lichtempfindlichkeit,,Osjetljivost na svjetlost,,,Osjetljivost na svjetlost,
healthImpairments.shortSightedness,Short sightedness,Mipia,Kortsynethed,Kurzsichtigkeit,,Kratkovidan,,,Kratkovidan,
healthImpairments.visionLoss,Vision loss,Cecità,Tabt synssans,Sehverlust,,Gubitak vida,,,Gubitak vida,
healthImpairments.hearLoss,Hear loss,Sordità,Tabt høresans,Hörverlust,,Gubitak sluha,,,Gubitak sluha,
healthImpairments.neckMotorImpairment,Neck motor impairment,Disabilità motoria del collo,Nakkeproblemer,Motorische Beeinträchtigung des Nackens,,Vratne poteškoće,,,Vratne poteškoće,
healthImpairments.shoulderImpairment,Shoulder impairment,Disabilità della spalla,skulderproblemer,Beeinträchtigung der SChulter,,Poteškoće ramena,,,Poteškoće ramena,
healthImpairments.armImpairment,Arm impairment,Disabilità del braccio,Albueproblemer,Beeinträchtigung des Armes,,Poteškoće ruke,,,Poteškoće ruke,
healthImpairments.wristImpairment,Wrist impairment,Disabilità del polso,Håndledsproblemer,Beeinträchtigung des Handgelenks,,Poteškoće zgloba na ruci,,,Poteškoće zgloba na ruci,
healthImpairments.hipImpairment,Hip impairment,Disabilità dell'anca,Hofteproblemer,Beeinträchtigung der Hüfte,,Poteškoće kuka,,,Poteškoće kuka,
healthImpairments.kneeImpairment,Knee impairment,Disabilità del ginocchio,Knæproblemer,Beeinträchtigung der Knie,,Poteškoće koljena,,,Poteškoće koljena,
healthImpairments.legImpairment,Leg impairment,Disabilità della gamba,Benproblemer,Beeinträchtigung der Beine,,Poteškoće noge,,,Poteškoće noge,
healthImpairments.anckleImpairment,Ankle impairment,Disabilità della caviglia,ankelproblemer,Beeinträchtigung der Sprunggelenke,,Poteškoće članka,,,Poteškoće gležnja,
healthImpairments.footImpairment,Foot impairment,Disabilità del piede,fodproblemer,Beeinträchtigung der Füße,,Poteškoće noge,,,Poteškoće noge,
healthImpairments.dislexia,Dislexia,Dislessia,?,Dyslexie,,Disleksija,,,Disleksija,
healthImpairments.amnesia,Amnesia,Amnesia,hukommelsestab,Amnesie,,Amnezija,,,Amnezija,
indoorPlaceAreas.selectArea,Select area,Selezionare l'area,vælg område,Bereich auswählen,,Odaberite područje,,,Odaberite područje,
indoorPlaceAreas.bathroom,Bathroom,Bagno,badeværelse,Badezimmer,,Kupatilo,,,Kupaonica,
indoorPlaceAreas.bedroom,Bedroom,Camera da letto,soveværelse,Schlafzimmer,,Spavaća soba,,,Spavaća soba,
indoorPlaceAreas.kitchen,Kitchen,Cucina,køkken,Küche,,Kuhinja,,,Kuhinja,
indoorPlaceAreas.livingRoom,Living room,Soggiorno,stue,Wohnzimmer,,Dnevna soba,,,Dnevna soba,
indoorPlaceAreas.cellar,Cellar,Cantina,kælder,Keller,,Podrum,,,Podrum,
indoorPlaceAreas.guestRoom,Guest room,Stanza degli ospiti,gæsteværelse,Gestezimmer,,Soba za goste,,,Soba za goste,
indoorPlaceAreas.diningRoom,Dining room,Sala da pranzo,spisestue,Esszimmer,,Trpezarija,,,Blagavonica,
indoorPlaceAreas.workRoom,Work room,Studio,arbejdsværelse,Arbeitszimmer,,Radna soba,,,Radna soba,
indoorPlaceAreas.corridor,Corridor,Corridoi,korridor,Korridor,,Hodnik,,,Hodnik,
indoorPlaceAreas.entranceHall,Entrance hall,Ingresso,Entre,Vorraum,,Predsoblje,,,Predvorje,
indoorPlaceAreas.staircase,Staircase,Scale,trappeopgang,Stiegenhaus,,Stepenište,,,Stubište,
indoorPlaceAreas.hobbyRoom,Hobby room,Sala hobby,Hobbyværelse,Hobbyraum,,Soba za hobije,,,Soba za hobije,
indoorPlaceAreas.storageRoom,Storage room,Sgabuzzino,opbevaringsrum,Lagerraum,,Ostava,,,Ostava,
indoorPlaceAreas.unknown,Unknown,Sconosciuto,ukendt,unbekannt,,Nepoznato,,,Nepoznato,
indoorPlaceAreas.wardrobe,Wardrobe,Guardaroba,gardarobe,Garderobe,,Garderoba,,,Garderoba,
healthDiagnosis.diagnosis,Health diagnosis,Health diagnosis,Health diagnosis,Health diagnosis,Health diagnosis,Health diagnosis,Health diagnosis,Health diagnosis,Health diagnosis,Health diagnosis
healthDiagnosis.mci,MCI,MCI,MCI,MCI,MCI,MCI,MCI,MCI,MCI,MCI
healthDiagnosis.copd1,COPD_GOLD1,COPD_GOLD1,COPD_GOLD1,COPD_GOLD1,COPD_GOLD1,COPD_GOLD1,COPD_GOLD1,COPD_GOLD1,COPD_GOLD1,COPD_GOLD1
healthDiagnosis.copd2,COPD_GOLD2,COPD_GOLD2,COPD_GOLD2,COPD_GOLD2,COPD_GOLD2,COPD_GOLD2,COPD_GOLD2,COPD_GOLD2,COPD_GOLD2,COPD_GOLD2
healthDiagnosis.copd3,COPD_GOLD3,COPD_GOLD3,COPD_GOLD3,COPD_GOLD3,COPD_GOLD3,COPD_GOLD3,COPD_GOLD3,COPD_GOLD3,COPD_GOLD3,COPD_GOLD3
healthDiagnosis.copd4,COPD_GOLD4,COPD_GOLD4,COPD_GOLD4,COPD_GOLD4,COPD_GOLD4,COPD_GOLD4,COPD_GOLD4,COPD_GOLD4,COPD_GOLD4,COPD_GOLD4
healthDiagnosis.frail,FRAIL,FRAIL,FRAIL,FRAIL,FRAIL,FRAIL,FRAIL,FRAIL,FRAIL,FRAIL
healthDiagnosis.prefrail,PRE_FRAIL,PRE_FRAIL,PRE_FRAIL,PRE_FRAIL,PRE_FRAIL,PRE_FRAIL,PRE_FRAIL,PRE_FRAIL,PRE_FRAIL,PRE_FRAIL
